stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
node/10289441902,Indian Bazaar,5.373309,-3.990588,,,,,,,,,,
node/10289441903,Carrefour 12ème,5.373889,-3.990435,,,,,,,,,,
node/10289441904,Carrefour 12ème,5.373982,-3.990528,,,,,,,,,,
node/10289441905,Akwaba,5.374872,-3.990516,,,,,,,,,,
node/10289441907,RTI Publicité,5.377100,-3.995406,,,,,,,,,,
node/10290362012,Akwaba,5.374663,-3.990447,,,,,,,,,,
node/10290362014,Justice du commerce,5.373244,-3.985335,,,,,,,,,,
node/10290362015,Commisariat 30è Art.,5.373836,-3.984465,,,,,,,,,,
node/10290362016,Assurance Royale,5.372240,-3.982978,,,,,,,,,,
node/10290362017,Carrefour Grande Mosquée,5.371376,-3.982168,,,,,,,,,,
node/10290362018,Pharmacie Saint Bernard,5.367429,-3.979502,,,,,,,,,,
node/10290362020,Carrefour Boulangerie,5.368860,-3.980151,,,,,,,,,,
node/10290362022,Ancien SARITEL,5.371277,-3.982161,,,,,,,,,,
node/10290362023,Cité Abri 2000,5.371662,-3.982508,,,,,,,,,,
node/10290362024,Assurance Royale,5.372511,-3.983368,,,,,,,,,,
node/10290362025,Commisariat 30è Art.,5.373741,-3.984739,,,,,,,,,,
node/10290362026,Carrefour Gobelet,5.372949,-3.985549,,,,,,,,,,
node/10290362027,Eglise Cema,5.372437,-3.986100,,,,,,,,,,
node/10290362028,Ambassade du Mali,5.371881,-3.988486,,,,,,,,,,
node/10290362029,Ambassade du Mali,5.371792,-3.988544,,,,,,,,,,
node/10290362030,Immigration Canada,5.371801,-3.989214,,,,,,,,,,
node/10290362031,Immigration Canada,5.371688,-3.989408,,,,,,,,,,
node/10293232212,Gare Abatta Village,5.328220,-3.916714,,,,,,,,,,
node/10293232213,Carrefour Pinasse,5.328178,-3.922469,,,,,,,,,,
node/10293232214,Miami beach,5.332169,-3.922598,,,,,,,,,,
node/10293232215,Carrefour Garage,5.338020,-3.923232,,,,,,,,,,
node/10293232216,Oribat,5.339556,-3.922780,,,,,,,,,,
node/10293232217,Carrefour Sicta,5.342329,-3.922035,,,,,,,,,,
node/10293232218,Carrefour Beceao,5.344725,-3.922437,,,,,,,,,,
node/10293232219,Garba Choco,5.346773,-3.922902,,,,,,,,,,
node/10293232220,Gare Nouveau Goudron,5.347395,-3.923027,,,,,,,,,,
node/10293232221,ComZone,5.348207,-3.923204,,,,,,,,,,
node/10293232222,Pancho,5.349520,-3.923508,,,,,,,,,,
node/10293232223,Carrefour Cyber,5.350213,-3.923676,,,,,,,,,,
node/10293232224,Carrefour Veninzoir,5.351724,-3.924038,,,,,,,,,,
node/10293232225,Carrefour Coquivoire,5.353246,-3.924380,,,,,,,,,,
node/10293232226,Carrefour Lapin,5.354715,-3.924685,,,,,,,,,,
node/10293232227,Carrefour Drogba,5.355531,-3.924881,,,,,,,,,,
node/10293232228,AB Center,5.358136,-3.925481,,,,,,,,,,
node/10293232229,Sodeci Abatta,5.359554,-3.925871,,,,,,,,,,
node/10293232230,Prumux,5.360649,-3.926155,,,,,,,,,,
node/10293232231,Carrefour Lumière,5.361620,-3.926416,,,,,,,,,,
node/10293232232,Ferronnerie,5.363799,-3.927002,,,,,,,,,,
node/10293232233,Carrefour Policier,5.366653,-3.927771,,,,,,,,,,
node/10293232234,Gare Nouveau Goudron,5.370316,-3.928777,,,,,,,,,,
node/10293246985,Terminus Nouveau Goudron,5.371661,-3.928917,,,,,,,,,,
node/10293246987,Carrefour El vivo,5.368766,-3.928119,,,,,,,,,,
node/10293246988,Carrefour Policier,5.366683,-3.927547,,,,,,,,,,
node/10293246989,Ferronnerie,5.363840,-3.926824,,,,,,,,,,
node/10293246990,Carrefour Lumière,5.361798,-3.926286,,,,,,,,,,
node/10293246991,Prumux,5.360650,-3.925987,,,,,,,,,,
node/10293246992,AB Center,5.357832,-3.925235,,,,,,,,,,
node/10293246993,Carrefour Drogba,5.355341,-3.924635,,,,,,,,,,
node/10293246994,Carrefour Lapin,5.354567,-3.924454,,,,,,,,,,
node/10293246995,Carrefour Mosquée,5.353060,-3.924116,,,,,,,,,,
node/10293246996,Carrefour Veninzoir,5.351666,-3.923827,,,,,,,,,,
node/10293246997,Carrefour Cyber,5.350352,-3.923523,,,,,,,,,,
node/10293246998,Pancho,5.349805,-3.923379,,,,,,,,,,
node/10293246999,Bananier,5.349059,-3.923212,,,,,,,,,,
node/10293247000,ComZone,5.348270,-3.923047,,,,,,,,,,
node/10293247001,Mondial Beton,5.347542,-3.922862,,,,,,,,,,
node/10293247002,Carrefour le blanc,5.343969,-3.922084,,,,,,,,,,
node/10293247003,Carrefour Sicta,5.342181,-3.921863,,,,,,,,,,
node/10293247004,Oribat,5.339531,-3.922619,,,,,,,,,,
node/10293247005,Carrefour Garage,5.337685,-3.923126,,,,,,,,,,
node/10293247006,Miami beach,5.332295,-3.922420,,,,,,,,,,
node/10293247007,Carrefour Pinasse,5.328100,-3.922094,,,,,,,,,,
node/10293247008,Gare Abatta Village,5.328297,-3.916737,,,,,,,,,,
node/10293290885,Au Lavage,5.351531,-3.975485,,,,,,,,,,
node/10293290887,Pharmacie Saint-Pierre des Rosées,5.353942,-3.957691,,,,,,,,,,
node/10293290888,Bon Pasteur,5.351081,-3.954397,,,,,,,,,,
node/10293290889,Lycée Américain,5.347975,-3.952781,,,,,,,,,,
node/10293290890,Mel Théodore,5.345521,-3.952473,,,,,,,,,,
node/10293290891,Brandon,5.341090,-3.952229,,,,,,,,,,
node/10293312731,Ancien Terminus M'pouto,5.330909,-3.957170,,,,,,,,,,
node/10293312732,Chantier,5.330288,-3.955159,,,,,,,,,,
node/10293312733,Coqivoire,5.329891,-3.953956,,,,,,,,,,
node/10293312734,Mosquee CIAD,5.329027,-3.951249,,,,,,,,,,
node/10293312735,Pharmacie M'Pouto,5.328425,-3.949083,,,,,,,,,,
node/10293312736,Pharmacie Eden,5.328458,-3.943664,,,,,,,,,,
node/10293312738,Vatican,5.328441,-3.942799,,,,,,,,,,
node/10293312739,Panier d'Or,5.335205,-3.944168,,,,,,,,,,
node/10293312740,Carrefour Antenne,5.340283,-3.945263,,,,,,,,,,
node/10293312741,Cité Belles Fleurs Riviera 3,5.346354,-3.952746,,,,,,,,,,
node/10293312742,Lycée Américain,5.348255,-3.953115,,,,,,,,,,
node/10293312743,Ancien Garage,5.349900,-3.954476,,,,,,,,,,
node/10293312745,Pharmacie St Agathe,5.355237,-3.960981,,,,,,,,,,
node/10293312746,Cap Nord,5.355279,-3.966932,,,,,,,,,,
node/10293312747,Sainte Famille,5.353417,-3.968197,,,,,,,,,,
node/10293356480,Boutique Bleue,5.354512,-3.962530,,,,,,,,,,
node/10293356481,Maison Blanche,5.336937,-3.953691,,,,,,,,,,
node/10293356482,Banny,5.334142,-3.956125,,,,,,,,,,
node/10293356483,Carrefour Pinasse,5.326354,-3.959324,,,,,,,,,,
node/10293356484,Terminus STL,5.325109,-3.960011,,,,,,,,,,
node/10293372511,Terminus STL,5.325154,-3.960094,,,,,,,,,,
node/10293372513,Carrefour Pinasse,5.326462,-3.959399,,,,,,,,,,
node/10293372514,Carrefour Affi,5.338644,-3.952427,,,,,,,,,,
node/10293372515,Brandon,5.341701,-3.952452,,,,,,,,,,
node/10293470011,Carrefour Martin,5.332443,-3.936563,,,,,,,,,,
node/10293470012,A la foire,5.333327,-3.937399,,,,,,,,,,
node/10293470013,Carrefour Université,5.334383,-3.938384,,,,,,,,,,
node/10293470014,Carrefour Valinbet,5.336659,-3.940506,,,,,,,,,,
node/10293470015,Carrefour Akwaba,5.337730,-3.941675,,,,,,,,,,
node/10293470017,Gare 9 Kilo,5.356923,-3.962969,,,,,,,,,,
node/10293476051,Gare 9 Kilo,5.356527,-3.962884,,,,,,,,,,
node/10293476052,Mel Théodore,5.345892,-3.952401,,,,,,,,,,
node/10293476053,Carrefour Akouédo / Synacassi 2,5.346107,-3.945638,,,,,,,,,,
node/10293476054,Carrefour Antenne,5.340050,-3.944958,,,,,,,,,,
node/10293476055,Carrefour Akwaba,5.337703,-3.941516,,,,,,,,,,
node/10293476056,Pharmacie Bonne Fortune,5.335391,-3.939195,,,,,,,,,,
node/10293476057,Carrefour Université,5.334592,-3.938475,,,,,,,,,,
node/10293476058,A la foire,5.333312,-3.937274,,,,,,,,,,
node/10293476059,Carrefour Martin,5.332440,-3.936487,,,,,,,,,,
node/10293476060,La ferme,5.331129,-3.935284,,,,,,,,,,
node/10293476061,Nouveau marché,5.329381,-3.933140,,,,,,,,,,
node/10293476062,Cocody Riviera M'badon,5.328692,-3.932421,,,,,,,,,,
node/10293802641,Escalier,5.492889,-4.051714,,,,,,,,,,
node/10293802642,La croix,5.498901,-4.049715,,,,,,,,,,
node/10293802643,Carrefour Royaume,5.498642,-4.050674,,,,,,,,,,
node/10293802644,Don Orione,5.498917,-4.049445,,,,,,,,,,
node/10293802645,Don Orione,5.499048,-4.049266,,,,,,,,,,
node/10293802646,Carrefour Marché,5.499333,-4.047950,,,,,,,,,,
node/10293802647,Carrefour Marché,5.499400,-4.047895,,,,,,,,,,
node/10293802648,Carrefour Tanoh,5.499625,-4.047043,,,,,,,,,,
node/10293802649,Hôpital,5.499846,-4.046403,,,,,,,,,,
node/10293802650,Hôpital,5.499782,-4.046393,,,,,,,,,,
node/10293802651,Carrefour Maternité,5.498281,-4.051275,,,,,,,,,,
node/10293802652,SGBCI,5.497414,-4.051498,,,,,,,,,,
node/10293802653,SGBCI,5.497221,-4.051429,,,,,,,,,,
node/10293802654,Shell,5.495577,-4.051739,,,,,,,,,,
node/10293802655,Shell,5.495302,-4.051676,,,,,,,,,,
node/10293802656,Inspection,5.493653,-4.051798,,,,,,,,,,
node/10293802657,Inspection,5.493505,-4.051625,,,,,,,,,,
node/10293802658,Carrefour Château,5.490798,-4.051723,,,,,,,,,,
node/10293802659,Scierie,5.492364,-4.051697,,,,,,,,,,
node/10293802660,Scierie,5.492255,-4.051586,,,,,,,,,,
node/10293802661,Carrefour Château,5.490555,-4.051561,,,,,,,,,,
node/10293802662,Carrefour Zossonkoi,5.485016,-4.051436,,,,,,,,,,
node/10293802663,Carrefour Zossonkoi,5.484713,-4.051343,,,,,,,,,,
node/10293854668,Carrefour Château,5.490630,-4.051720,,,,,,,,,,
node/10293854669,Lavage,5.496973,-4.063656,,,,,,,,,,
node/10293854671,Terminus Seminaire,5.497876,-4.066043,,,,,,,,,,
node/10293854672,Terminus Seminaire,5.497935,-4.066021,,,,,,,,,,
node/10293854673,Carrefour Seminaire,5.497693,-4.064966,,,,,,,,,,
node/10293854674,Carrefour Lycée,5.495878,-4.062631,,,,,,,,,,
node/10293854675,Carrefour Lycée,5.495753,-4.062408,,,,,,,,,,
node/10293854676,En Bas du Pont,5.494209,-4.061075,,,,,,,,,,
node/10293854677,Petit Pont,5.494197,-4.060737,,,,,,,,,,
node/10293854678,En Bas du Pont,5.492773,-4.056053,,,,,,,,,,
node/10293854679,En Bas du Pont,5.492825,-4.055929,,,,,,,,,,
node/10293854680,Sainte Monique,5.490748,-4.054810,,,,,,,,,,
node/10293854681,Sainte Monique,5.490802,-4.054507,,,,,,,,,,
node/10293919005,Grand carrefour,5.512566,-4.059654,,,,,,,,,,
node/10293919007,Au Pont,5.511133,-4.057645,,,,,,,,,,
node/10293919008,Au Pont,5.511036,-4.057386,,,,,,,,,,
node/10293941109,Gendarmerie,5.506259,-4.053567,,,,,,,,,,
node/10293941110,Gendarmerie,5.505936,-4.053386,,,,,,,,,,
node/10293941111,Police,5.505770,-4.053427,,,,,,,,,,
node/10293941112,Police,5.505299,-4.053194,,,,,,,,,,
node/10293941113,Carrefour Yapokoi,5.504369,-4.053047,,,,,,,,,,
node/10293941114,Carrefour Yapokoi,5.504491,-4.052967,,,,,,,,,,
node/10293941115,Schneider,5.503171,-4.052699,,,,,,,,,,
node/10293941116,Schneider,5.503136,-4.052561,,,,,,,,,,
node/10293941117,PDCI,5.502313,-4.052317,,,,,,,,,,
node/10293941118,Mission Catholique,5.499764,-4.051741,,,,,,,,,,
node/10293941119,Mission Catholique,5.499440,-4.051540,,,,,,,,,,
node/10293941120,Carrefour Maternité,5.498625,-4.051432,,,,,,,,,,
node/10294996099,Ancienne Gendarmerie,5.461919,-4.053912,,,,,,,,,,
node/10294996100,Abossia,5.465491,-4.054307,,,,,,,,,,
node/10294996101,Morgue,5.472415,-4.054374,,,,,,,,,,
node/10294996102,Colatier,5.479778,-4.053632,,,,,,,,,,
node/10294996103,PDCI,5.502502,-4.052559,,,,,,,,,,
node/10294996104,Gare Routière,5.480120,-4.052988,,,,,,,,,,
node/10294996105,Carrefour à Gauche,5.477922,-4.055476,,,,,,,,,,
node/10294996106,Carrefour à Gauche,5.477743,-4.055374,,,,,,,,,,
node/10294996107,A l'école,5.475489,-4.055314,,,,,,,,,,
node/10294996108,A l'école,5.475389,-4.055092,,,,,,,,,,
node/10295005609,Kedjenou,5.469198,-4.052972,,,,,,,,,,
node/10295005610,Contrôle,5.470640,-4.053278,,,,,,,,,,
node/10295005611,Contrôle,5.470456,-4.053011,,,,,,,,,,
node/10295005612,Kedjenou,5.468956,-4.052784,,,,,,,,,,
node/10295005613,Berthé,5.467505,-4.053338,,,,,,,,,,
node/10295005614,Abossia,5.465082,-4.054183,,,,,,,,,,
node/10295014154,Carrefour les Roses Vallées,5.381780,-3.912395,,,,,,,,,,
node/10295014155,Station,5.374754,-3.911779,,,,,,,,,,
node/10295014156,Pharmacie,5.377861,-3.912742,,,,,,,,,,
node/10295014158,Grâce Esther,5.382744,-3.906982,,,,,,,,,,
